8,AGEL FY 25-26 Commissioning Status Update,,,,,,,,,For Chairman Budget Purpose @6.5GW +535 MW carryover,,,,,,,,,,,,31-Dec-25,,,,,
3,,,,,,,,,Monthwise Distribution,,,,,,,,,,,,,,,Quarterly Distribution,,,
,,,,,,,,Plan / Actual,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Total Capacity,Cumm till 30-Nov-25,,Q1,Q2,Q3,Q4
,"AGEL Overall FY 2025-26 
(1+2)",,,,,,,Plan,1115,532,1546,644,26,459,419,655,1039,562,,76,7073,5396,,3193,1129,2113,638
,,,,,,,,PPA,583,,475,623,26,459,419,351,909,300,,,4144,2935,,1058,1108,1679,300
,,,,,,,,Merchant,506,501,646,21,,,,304,130,262,,76,2446,1978,,1653,21,434,338
,,,,,,,,Group,26,31,425,,,,,,,,,,482,482,,482,,,
,,,,,,,,Rephase,474,314,849,576,653,353,366,459,783,971,880,396,7073,4043,,1636,1582,1608,2247
,,,,,,,,PPA,320,163,463,188,150,200,100,254,783,717,550,258,4144,1837,,945,538,1137,1525
,,,,,,,,Merchant,154,125,355,238,278,153,216,205,,254,330,138,2446,1724,,634,669,421,722
,,,,,,,,Group,,26,31,150,225,,50,,,,,,482,482,,57,375,50,
,,,,,,,,Actual / Fcst,474,314,849,128,537,531,203,333,482,952,876,910,6589,3369,,1636,1196,1018,2738
,,,,,,,,PPA,320,163,463,,138,175,203,247,207,575,425,746,3660,1707,,945,313,657,1746
,,,,,,,,Merchant,154,125,355,128,250,306,,86,50,377,451,164,2446,1404,,634,684,136,992
,,,,,,,,Group,,26,31,,150,50,,,225,,,,482,257,,57,200,225,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Plan / Actual,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Total Capacity,Cumm till 30-Nov-25,,Q1,Q2,Q3,Q4
,"1. AGEL Overall Solar FY 2025-26 
(A + B + C)",,,,,,,Plan,933,350,1302,550,,433,367,525,909,500,,,5869,4460,,2585,983,1801,500
,,,,,,,,PPA,583,,475,550,,433,367,325,909,300,,,3942,2733,,1058,983,1601,300
,,,,,,,,Merchant,350,350,402,,,,,200,,200,,,1502,1302,,1102,,200,200
,,,,,,,,Group,,,425,,,,,,,,,,425,425,,425,,,
,,,,,,,,Rephase,370,288,688,498,575,275,262,355,684,867,750,258,5869,3310,,1345,1348,1301,1875
,,,,,,,,PPA,320,163,463,188,150,200,100,150,684,717,550,258,3942,1733,,945,538,934,1525
,,,,,,,,Merchant,50,125,225,160,200,75,112,205,,150,200,,1502,1152,,400,435,317,350
,,,,,,,,Group,,,,150,225,,50,,,,,,425,425,,,375,50,
,,,,,,,,Actual / Fcst,370,288,688,60,413,500,125,250,425,838,705,725,5385,2693,,1345,973,800,2267
,,,,,,,,PPA,320,163,463,,138,175,125,200,150,575,425,725,3458,1583,,945,313,475,1725
,,,,,,,,Merchant,50,125,225,60,125,275,,50,50,263,280,,1502,910,,400,460,100,542
